[runlim] version:		2.0.0rc12
[runlim] host:			Jakdar-PC
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		7904 MB
[runlim] argv[0]:		julia
[runlim] argv[1]:		run_fuzzing.jl
[runlim] start:			Thu Jun 18 20:30:29 2026
[runlim] child:			11353
  Activating project at `/mnt/c/Users/jakdar/Uni/bachelorarbeit/VeryDiff`
Set parameter Username
Set parameter LicenseID to value 2836775
Academic license - for non-commercial use only - expires 2027-06-18
[runlim] sample:		10.04 time, 10.01 real, 904 MB, 0.56 load
[runlim] sample:		20.03 time, 20.01 real, 1182 MB, 0.62 load
[runlim] sample:		30.07 time, 30.01 real, 1229 MB, 0.68 load
[runlim] sample:		40.04 time, 40.01 real, 1297 MB, 0.73 load
[runlim] sample:		49.99 time, 50.01 real, 1263 MB, 0.77 load
[runlim] sample:		60.05 time, 60.01 real, 1258 MB, 0.81 load
[runlim] sample:		70.04 time, 70.01 real, 1258 MB, 0.84 load
[runlim] sample:		80.00 time, 80.01 real, 1263 MB, 0.86 load
[runlim] sample:		90.04 time, 90.01 real, 1263 MB, 0.89 load
[runlim] sample:		100.03 time, 100.01 real, 1264 MB, 0.90 load
[runlim] sample:		109.99 time, 110.01 real, 1266 MB, 0.92 load
